Fornavn;Efternavn;Parti;Parti med periode;Medlem from;Medlem til
A.;Fuglsang-Damgaard;Det Konservative Folkeparti;Det Konservative Folkeparti (04-10-1966 - 22-11-1966);1966-10-04 00:00:00.000;1966-11-22 00:00:00.000
A.;Fuglsang-Damgaard;Det Konservative Folkeparti;Det Konservative Folkeparti (03-10-1967 - 23-01-1968);1967-10-03 00:00:00.000;1968-01-23 00:00:00.000
A. C.;Andersen;Venstre, Danmarks Liberale Parti;Venstre, Danmarks Liberale Parti (22-09-1964 - 06-10-1964);1964-09-22 00:00:00.000;1964-10-06 00:00:00.000
A. C.;Andersen;Venstre, Danmarks Liberale Parti;Venstre, Danmarks Liberale Parti (06-10-1964 - 05-10-1965);1964-10-06 00:00:00.000;1965-10-05 00:00:00.000
A. C.;Andersen;Venstre, Danmarks Liberale Parti;Venstre, Danmarks Liberale Parti (05-10-1965 - 04-10-1966);1965-10-05 00:00:00.000;1966-10-04 00:00:00.000
A. C.;Andersen;Venstre, Danmarks Liberale Parti;Venstre, Danmarks Liberale Parti (04-10-1966 - 22-11-1966);1966-10-04 00:00:00.000;1966-11-22 00:00:00.000
A. C.;Andersen;Venstre, Danmarks Liberale Parti;Venstre, Danmarks Liberale Parti (22-11-1966 - 03-10-1967);1966-11-22 00:00:00.000;1967-10-03 00:00:00.000
A. C.;Andersen;Venstre, Danmarks Liberale Parti;Venstre, Danmarks Liberale Parti (03-10-1967 - 23-01-1968);1967-10-03 00:00:00.000;1968-01-23 00:00:00.000
A. C.;Andersen;Venstre, Danmarks Liberale Parti;Venstre, Danmarks Liberale Parti (23-01-1968 - 01-10-1968);1968-01-23 00:00:00.000;1968-10-01 00:00:00.000
A. C.;Andersen;Venstre, Danmarks Liberale Parti;Venstre, Danmarks Liberale Parti (01-10-1968 - 07-10-1969);1968-10-01 00:00:00.000;1969-10-07 00:00:00.000
A. C.;Andersen;Venstre, Danmarks Liberale Parti;Venstre, Danmarks Liberale Parti (07-10-1969 - 06-10-1970);1969-10-07 00:00:00.000;1970-10-06 00:00:00.000
A. C.;Andersen;Venstre, Danmarks Liberale Parti;Venstre, Danmarks Liberale Parti (06-10-1970 - 21-09-1971);1970-10-06 00:00:00.000;1971-09-21 00:00:00.000
A. C.;Andersen;Venstre, Danmarks Liberale Parti;Venstre, Danmarks Liberale Parti (21-09-1971 - 05-10-1971);1971-09-21 00:00:00.000;1971-10-05 00:00:00.000
A. C.;Andersen;Venstre, Danmarks Liberale Parti;Venstre, Danmarks Liberale Parti (05-10-1971 - 03-10-1972);1971-10-05 00:00:00.000;1972-10-03 00:00:00.000
A. C.;Andersen;Venstre, Danmarks Liberale Parti;Venstre, Danmarks Liberale Parti (03-10-1972 - 02-10-1973);1972-10-03 00:00:00.000;1973-10-02 00:00:00.000
A. C.;Andersen;Venstre, Danmarks Liberale Parti;Venstre, Danmarks Liberale Parti (02-10-1973 - 04-12-1973);1973-10-02 00:00:00.000;1973-12-04 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (06-10-1953 - 05-10-1954);1953-10-06 00:00:00.000;1954-10-05 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (05-10-1954 - 04-10-1955);1954-10-05 00:00:00.000;1955-10-04 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (04-10-1955 - 02-10-1956);1955-10-04 00:00:00.000;1956-10-02 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (02-10-1956 - 14-05-1957);1956-10-02 00:00:00.000;1957-05-14 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (14-05-1957 - 01-10-1957);1957-05-14 00:00:00.000;1957-10-01 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (01-10-1957 - 07-10-1958);1957-10-01 00:00:00.000;1958-10-07 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (07-10-1958 - 06-10-1959);1958-10-07 00:00:00.000;1959-10-06 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (06-10-1959 - 04-10-1960);1959-10-06 00:00:00.000;1960-10-04 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (04-10-1960 - 15-11-1960);1960-10-04 00:00:00.000;1960-11-15 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (15-11-1960 - 03-10-1961);1960-11-15 00:00:00.000;1961-10-03 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (03-10-1961 - 02-10-1962);1961-10-03 00:00:00.000;1962-10-02 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (02-10-1962 - 01-10-1963);1962-10-02 00:00:00.000;1963-10-01 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (01-10-1963 - 22-09-1964);1963-10-01 00:00:00.000;1964-09-22 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (22-09-1964 - 06-10-1964);1964-09-22 00:00:00.000;1964-10-06 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (06-10-1964 - 05-10-1965);1964-10-06 00:00:00.000;1965-10-05 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (05-10-1965 - 04-10-1966);1965-10-05 00:00:00.000;1966-10-04 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (04-10-1966 - 22-11-1966);1966-10-04 00:00:00.000;1966-11-22 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (22-11-1966 - 03-10-1967);1966-11-22 00:00:00.000;1967-10-03 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (03-10-1967 - 23-01-1968);1967-10-03 00:00:00.000;1968-01-23 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (23-01-1968 - 01-10-1968);1968-01-23 00:00:00.000;1968-10-01 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (01-10-1968 - 07-10-1969);1968-10-01 00:00:00.000;1969-10-07 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (07-10-1969 - 06-10-1970);1969-10-07 00:00:00.000;1970-10-06 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (06-10-1970 - 21-09-1971);1970-10-06 00:00:00.000;1971-09-21 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (21-09-1971 - 05-10-1971);1971-09-21 00:00:00.000;1971-10-05 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (05-10-1971 - 03-10-1972);1971-10-05 00:00:00.000;1972-10-03 00:00:00.000
A. C.;Normann;Det Radikale Venstre;Det Radikale Venstre (03-10-1972 - 02-10-1973);1972-10-03 00:00:00.000;1972-11-23 00:00:00.000
A. P.;Brændstrup;Socialdemokratiet;Socialdemokratiet (04-10-1977 - 03-10-1978);1977-10-04 00:00:00.000;1978-10-03 00:00:00.000
A. Stæhr;Johansen;Det Konservative Folkeparti;Det Konservative Folkeparti (06-10-1953 - 05-10-1954);1953-10-06 00:00:00.000;1954-10-05 00:00:00.000
A. Stæhr;Johansen;Det Konservative Folkeparti;Det Konservative Folkeparti (05-10-1954 - 04-10-1955);1954-10-05 00:00:00.000;1955-10-04 00:00:00.000
A. Stæhr;Johansen;Det Konservative Folkeparti;Det Konservative Folkeparti (04-10-1955 - 02-10-1956);1955-10-04 00:00:00.000;1956-10-02 00:00:00.000
A. Stæhr;Johansen;Det Konservative Folkeparti;Det Konservative Folkeparti (02-10-1956 - 14-05-1957);1956-10-02 00:00:00.000;1957-05-14 00:00:00.000
A. Stæhr;Johansen;Det Konservative Folkeparti;Det Konservative Folkeparti (22-09-1964 - 06-10-1964);1964-09-22 00:00:00.000;1964-10-06 00:00:00.000
A. Stæhr;Johansen;Det Konservative Folkeparti;Det Konservative Folkeparti (06-10-1964 - 05-10-1965);1964-10-06 00:00:00.000;1965-10-05 00:00:00.000
A. Stæhr;Johansen;Det Konservative Folkeparti;Det Konservative Folkeparti (05-10-1965 - 04-10-1966);1965-10-05 00:00:00.000;1966-10-04 00:00:00.000
A. Stæhr;Johansen;Det Konservative Folkeparti;Det Konservative Folkeparti (04-10-1966 - 22-11-1966);1966-10-04 00:00:00.000;1966-11-22 00:00:00.000
A. Stæhr;Johansen;Det Konservative Folkeparti;Det Konservative Folkeparti (22-11-1966 - 03-10-1967);1966-11-22 00:00:00.000;1967-10-03 00:00:00.000
A. Stæhr;Johansen;Det Konservative Folkeparti;Det Konservative Folkeparti (03-10-1967 - 23-01-1968);1967-10-03 00:00:00.000;1968-01-23 00:00:00.000
A. Stæhr;Johansen;Det Konservative Folkeparti;Det Konservative Folkeparti (23-01-1968 - 01-10-1968);1968-01-23 00:00:00.000;1968-10-01 00:00:00.000
A. Stæhr;Johansen;Det Konservative Folkeparti;Det Konservative Folkeparti (01-10-1968 - 07-10-1969);1968-10-01 00:00:00.000;1969-10-07 00:00:00.000
A. Stæhr;Johansen;Det Konservative Folkeparti;Det Konservative Folkeparti (07-10-1969 - 06-10-1970);1969-10-07 00:00:00.000;1970-10-06 00:00:00.000
A. Stæhr;Johansen;Det Konservative Folkeparti;Det Konservative Folkeparti (06-10-1970 - 21-09-1971);1970-10-06 00:00:00.000;1971-09-21 00:00:00.000
A. Stæhr;Johansen;Det Konservative Folkeparti;Det Konservative Folkeparti (21-09-1971 - 05-10-1971);1971-09-21 00:00:00.000;1971-10-05 00:00:00.000
A. Stæhr;Johansen;Det Konservative Folkeparti;Det Konservative Folkeparti (05-10-1971 - 03-10-1972);1971-10-05 00:00:00.000;1972-10-03 00:00:00.000
A. Stæhr;Johansen;Det Konservative Folkeparti;Det Konservative Folkeparti (03-10-1972 - 02-10-1973);1972-10-03 00:00:00.000;1973-10-02 00:00:00.000
A. Stæhr;Johansen;Det Konservative Folkeparti;Det Konservative Folkeparti (02-10-1973 - 04-12-1973);1973-10-02 00:00:00.000;1973-12-04 00:00:00.000
