Samling,Startdato,Slutdato,år,samling,period
19531,1953-10-06T00:00:00Z,1954-10-05T00:00:00Z,1953,1,1953-10-06 UTC--1954-10-05 UTC
19541,1954-10-05T00:00:00Z,1955-10-04T00:00:00Z,1954,1,1954-10-05 UTC--1955-10-04 UTC
19551,1955-10-04T00:00:00Z,1956-10-02T00:00:00Z,1955,1,1955-10-04 UTC--1956-10-02 UTC
19561,1956-10-02T00:00:00Z,1957-05-14T00:00:00Z,1956,1,1956-10-02 UTC--1957-05-14 UTC
19562,1957-05-14T00:00:00Z,1957-10-01T00:00:00Z,1956,2,1957-05-14 UTC--1957-10-01 UTC
19571,1957-10-01T00:00:00Z,1958-10-07T00:00:00Z,1957,1,1957-10-01 UTC--1958-10-07 UTC
19581,1958-10-07T00:00:00Z,1959-10-06T00:00:00Z,1958,1,1958-10-07 UTC--1959-10-06 UTC
19591,1959-10-06T00:00:00Z,1960-10-04T00:00:00Z,1959,1,1959-10-06 UTC--1960-10-04 UTC
19601,1960-10-04T00:00:00Z,1960-11-15T00:00:00Z,1960,1,1960-10-04 UTC--1960-11-15 UTC
19602,1960-11-15T00:00:00Z,1961-10-03T00:00:00Z,1960,2,1960-11-15 UTC--1961-10-03 UTC
19611,1961-10-03T00:00:00Z,1962-10-02T00:00:00Z,1961,1,1961-10-03 UTC--1962-10-02 UTC
19621,1962-10-02T00:00:00Z,1963-10-01T00:00:00Z,1962,1,1962-10-02 UTC--1963-10-01 UTC
19631,1963-10-01T00:00:00Z,1964-09-22T00:00:00Z,1963,1,1963-10-01 UTC--1964-09-22 UTC
19632,1964-09-22T00:00:00Z,1964-10-06T00:00:00Z,1963,2,1964-09-22 UTC--1964-10-06 UTC
19641,1964-10-06T00:00:00Z,1965-10-05T00:00:00Z,1964,1,1964-10-06 UTC--1965-10-05 UTC
19651,1965-10-05T00:00:00Z,1966-10-04T00:00:00Z,1965,1,1965-10-05 UTC--1966-10-04 UTC
19661,1966-10-04T00:00:00Z,1966-11-22T00:00:00Z,1966,1,1966-10-04 UTC--1966-11-22 UTC
19662,1966-11-22T00:00:00Z,1967-10-03T00:00:00Z,1966,2,1966-11-22 UTC--1967-10-03 UTC
19671,1967-10-03T00:00:00Z,1968-01-23T00:00:00Z,1967,1,1967-10-03 UTC--1968-01-23 UTC
