"TABLE_NAME","COLUMN_NAME","DATA_TYPE"
"Fil","id","int"
"Fil","dokumentid","int"
"Fil","titel","nvarchar"
"Fil","versionsdato","datetime"
"Fil","filurl","nvarchar"
"Fil","opdateringsdato","datetime"
"Fil","variantkode","nvarchar"
"Fil","format","nvarchar"
"Sagstrinsstatus","id","int"
"Sagstrinsstatus","status","nvarchar"
"Sagstrinsstatus","opdateringsdato","datetime"
"IdMap","id","int"
"IdMap","originalid","varchar"
"IdMap","entity","varchar"
"Sagstrinstype","id","int"
"Sagstrinstype","type","nvarchar"
"Sagstrinstype","opdateringsdato","datetime"
"KolloneBeskrivelse","id","int"
"KolloneBeskrivelse","entitetnavn","nvarchar"
"KolloneBeskrivelse","kollonenavn","nvarchar"
"KolloneBeskrivelse","beskrivelse","varchar"
"KolloneBeskrivelse","opdateringsdato","datetime"
"Sagstrin","id","int"
"Sagstrin","titel","nvarchar"
"Sagstrin","dato","datetime"
"Sagstrin","sagid","int"
"Sagstrin","typeid","int"
"Sagstrin","folketingstidendeurl","nvarchar"
"Sagstrin","folketingstidende","nvarchar"
"Sagstrin","folketingstidendesidenummer","nvarchar"
"Sagstrin","statusid","int"
"Sagstrin","opdateringsdato","datetime"
"MødeAktør","id","int"
"MødeAktør","mødeid","int"
"MødeAktør","aktørid","int"
"MødeAktør","opdateringsdato","datetime"
"Afstemning","id","int"
"Afstemning","nummer","int"
"Afstemning","konklusion","nvarchar"
"Afstemning","vedtaget","bit"
"Afstemning","kommentar","nvarchar"
"Afstemning","mødeid","int"
"Afstemning","typeid","int"
"Afstemning","sagstrinid","int"
"Afstemning","opdateringsdato","datetime"
"Omtryk","id","int"
"Omtryk","dokumentid","int"
"Omtryk","dato","datetime"
"Omtryk","begrundelse","nvarchar"
"Omtryk","opdateringsdato","datetime"
"Aktørtype","id","int"
"Aktørtype","type","nvarchar"
"Aktørtype","opdateringsdato","datetime"
"SagAktørRolle","id","int"
"SagAktørRolle","rolle","varchar"
"SagAktørRolle","opdateringsdato","datetime"
"Aktør","id","int"
"Aktør","typeid","int"
"Aktør","gruppenavnkort","nvarchar"
"Aktør","navn","nvarchar"
"Aktør","fornavn","nvarchar"
"Aktør","efternavn","nvarchar"
"Aktør","biografi","nvarchar"
"Aktør","periodeid","int"
"Aktør","opdateringsdato","datetime"
"Aktør","startdato","datetime"
"Aktør","slutdato","datetime"
"SagAktør","id","int"
"SagAktør","aktørid","int"
"SagAktør","sagid","int"
"SagAktør","opdateringsdato","datetime"
"SagAktør","rolleid","int"
"AktørAktørRolle","id","int"
"AktørAktørRolle","rolle","varchar"
"AktørAktørRolle","opdateringsdato","datetime"
"SagDokumentRolle","id","int"
"SagDokumentRolle","rolle","varchar"
"SagDokumentRolle","opdateringsdato","datetime"
